frontend_question_id,question__title,question__title_slug,difficulty,paid_only
3155,Maximum Number of Upgradable Servers,maximum-number-of-upgradable-servers,2,True
3176,Find the Maximum Length of a Good Subsequence I,find-the-maximum-length-of-a-good-subsequence-i,2,False
3223,Minimum Length of String After Operations,minimum-length-of-string-after-operations,2,False
3229,Minimum Operations to Make Array Equal to Target,minimum-operations-to-make-array-equal-to-target,3,False
3211,Generate Binary Strings Without Adjacent Zeros,generate-binary-strings-without-adjacent-zeros,2,False
3177,Find the Maximum Length of a Good Subsequence II,find-the-maximum-length-of-a-good-subsequence-ii,3,False
3163,String Compression III,string-compression-iii,2,False
3178,Find the Child Who Has the Ball After K Seconds,find-the-child-who-has-the-ball-after-k-seconds,1,False
3141,Maximum Hamming Distances,maximum-hamming-distances,3,True
3174,Clear Digits,clear-digits,1,False
3162,Find the Number of Good Pairs I,find-the-number-of-good-pairs-i,1,False
3170,Lexicographically Minimum String After Removing Stars,lexicographically-minimum-string-after-removing-stars,2,False
3164,Find the Number of Good Pairs II,find-the-number-of-good-pairs-ii,2,False
3181,Maximum Total Reward Using Operations II,maximum-total-reward-using-operations-ii,3,False
3180,Maximum Total Reward Using Operations I,maximum-total-reward-using-operations-i,2,False
3135,Equalize Strings by Adding or Removing Characters at Ends,equalize-strings-by-adding-or-removing-characters-at-ends,2,True
3203,Find Minimum Diameter After Merging Two Trees,find-minimum-diameter-after-merging-two-trees,3,False
3187,Peaks in Array,peaks-in-array,3,False
3186,Maximum Total Damage With Spell Casting,maximum-total-damage-with-spell-casting,2,False
3171,Find Subarray With Bitwise OR Closest to K,find-subarray-with-bitwise-or-closest-to-k,3,False
3161,Block Placement Queries,block-placement-queries,3,False
3160,Find the Number of Distinct Colors Among the Balls,find-the-number-of-distinct-colors-among-the-balls,2,False
3125,Maximum Number That Makes Result of Bitwise AND Zero,maximum-number-that-makes-result-of-bitwise-and-zero,2,True
3149,Find the Minimum Cost Array Permutation,find-the-minimum-cost-array-permutation,3,False
3169,Count Days Without Meetings,count-days-without-meetings,2,False
3151,Special Array I,special-array-i,1,False
3158,Find the XOR of Numbers Which Appear Twice,find-the-xor-of-numbers-which-appear-twice,1,False
3152,Special Array II,special-array-ii,2,False
3168,Minimum Number of Chairs in a Waiting Room,minimum-number-of-chairs-in-a-waiting-room,1,False
3119,Maximum Number of Potholes That Can Be Fixed,maximum-number-of-potholes-that-can-be-fixed,2,True
3165,Maximum Sum of Subsequence With Non-adjacent Elements,maximum-sum-of-subsequence-with-non-adjacent-elements,3,False
3179,Find the N-th Value After K Seconds,find-the-n-th-value-after-k-seconds,2,False
3184,Count Pairs That Form a Complete Day I,count-pairs-that-form-a-complete-day-i,1,False
3159,Find Occurrences of an Element in an Array,find-occurrences-of-an-element-in-an-array,2,False
3143,Maximum Points Inside the Square,maximum-points-inside-the-square,2,False
3185,Count Pairs That Form a Complete Day II,count-pairs-that-form-a-complete-day-ii,2,False
3109,Find the Index of Permutation,find-the-index-of-permutation,2,True
3153,Sum of Digit Differences of All Pairs,sum-of-digit-differences-of-all-pairs,2,False
3142,Check if Grid Satisfies Conditions,check-if-grid-satisfies-conditions,1,False
3154,Find Number of Ways to Reach the K-th Stair,find-number-of-ways-to-reach-the-k-th-stair,3,False
3175,Find The First Player to win K Games in a Row,find-the-first-player-to-win-k-games-in-a-row,2,False
3146,Permutation Difference between Two Strings,permutation-difference-between-two-strings,1,False
3145,Find Products of Elements of Big Array,find-products-of-elements-of-big-array,3,False
3104,Find Longest Self-Contained Substring,find-longest-self-contained-substring,3,True
3120,Count the Number of Special Characters I,count-the-number-of-special-characters-i,1,False
3130,Find All Possible Stable Binary Arrays II,find-all-possible-stable-binary-arrays-ii,3,False
3129,Find All Possible Stable Binary Arrays I,find-all-possible-stable-binary-arrays-i,2,False
3121,Count the Number of Special Characters II,count-the-number-of-special-characters-ii,2,False
3122,Minimum Number of Operations to Satisfy Conditions,minimum-number-of-operations-to-satisfy-conditions,2,False
3144,Minimum Substring Partition of Equal Character Frequency,minimum-substring-partition-of-equal-character-frequency,2,False
3139,Minimum Cost to Equalize Array,minimum-cost-to-equalize-array,3,False
3094,Guess the Number Using Bitwise Questions II,guess-the-number-using-bitwise-questions-ii,2,True
3132,Find the Integer Added to Array II,find-the-integer-added-to-array-ii,2,False
3127,Make a Square with the Same Color,make-a-square-with-the-same-color,1,False
3131,Find the Integer Added to Array I,find-the-integer-added-to-array-i,1,False
3136,Valid Word,valid-word,1,False
3138,Minimum Length of Anagram Concatenation,minimum-length-of-anagram-concatenation,2,False
3133,Minimum Array End,minimum-array-end,2,False
3088,Make String Anti-palindrome,make-string-anti-palindrome,3,True
3148,Maximum Difference Score in a Grid,maximum-difference-score-in-a-grid,2,False
3111,Minimum Rectangles to Cover Points,minimum-rectangles-to-cover-points,2,False
3112,Minimum Time to Visit Disappearing Nodes,minimum-time-to-visit-disappearing-nodes,2,False
3128,Right Triangles,right-triangles,2,False
3107,Minimum Operations to Make Median of Array Equal to K,minimum-operations-to-make-median-of-array-equal-to-k,2,False
3123,Find Edges in Shortest Paths,find-edges-in-shortest-paths,3,False
3078,Match Alphanumerical Pattern in Matrix I,match-alphanumerical-pattern-in-matrix-i,2,True
3137,Minimum Number of Operations to Make Word K-Periodic,minimum-number-of-operations-to-make-word-k-periodic,2,False
3147,Taking Maximum Energy From the Mystic Dungeon,taking-maximum-energy-from-the-mystic-dungeon,2,False
3113,Find the Number of Subarrays Where Boundary Elements Are Maximum,find-the-number-of-subarrays-where-boundary-elements-are-maximum,3,False
3095,Shortest Subarray With OR at Least K I,shortest-subarray-with-or-at-least-k-i,1,False
3097,Shortest Subarray With OR at Least K II,shortest-subarray-with-or-at-least-k-ii,2,False
3110,Score of a String,score-of-a-string,1,False
3073,Maximum Increasing Triplet Value,maximum-increasing-triplet-value,2,True
3093,Longest Common Suffix Queries,longest-common-suffix-queries,3,False
3116,Kth Smallest Amount With Single Denomination Combination,kth-smallest-amount-with-single-denomination-combination,3,False
3101,Count Alternating Subarrays,count-alternating-subarrays,2,False
3115,Maximum Prime Difference,maximum-prime-difference,2,False
3105,Longest Strictly Increasing or Strictly Decreasing Subarray,longest-strictly-increasing-or-strictly-decreasing-subarray,1,False
3099,Harshad Number,harshad-number,1,False
3064,Guess the Number Using Bitwise Questions I,guess-the-number-using-bitwise-questions-i,2,True
3062,Winner of the Linked List Game,winner-of-the-linked-list-game,1,True
3079,Find the Sum of Encrypted Integers,find-the-sum-of-encrypted-integers,1,False
3117,Minimum Sum of Values by Dividing Array,minimum-sum-of-values-by-dividing-array,3,False
3092,Most Frequent IDs,most-frequent-ids,2,False
3134,Find the Median of the Uniqueness Array,find-the-median-of-the-uniqueness-array,3,False
3114,Latest Time You Can Obtain After Replacing Characters,latest-time-you-can-obtain-after-replacing-characters,1,False
3085,Minimum Deletions to Make String K-Special,minimum-deletions-to-make-string-k-special,2,False
3063,Linked List Frequency,linked-list-frequency,1,True
3076,Shortest Uncommon Substring in an Array,shortest-uncommon-substring-in-an-array,2,False
3096,Minimum Levels to Gain More Points,minimum-levels-to-gain-more-points,2,False
3081,Replace Question Marks in String to Minimize Its Value,replace-question-marks-in-string-to-minimize-its-value,2,False
3083,Existence of a Substring in a String and Its Reverse,existence-of-a-substring-in-a-string-and-its-reverse,1,False
3037,Find Pattern in Infinite Stream II,find-pattern-in-infinite-stream-ii,3,True
3075,Maximize Happiness of Selected Children,maximize-happiness-of-selected-children,2,False
3072,Distribute Elements Into Two Arrays II,distribute-elements-into-two-arrays-ii,3,False
3090,Maximum Length Substring With Two Occurrences,maximum-length-substring-with-two-occurrences,1,False
3108,Minimum Cost Walk in Weighted Graph,minimum-cost-walk-in-weighted-graph,3,False
3069,Distribute Elements Into Two Arrays I,distribute-elements-into-two-arrays-i,1,False
3106,Lexicographically Smallest String After Operations With Constraint,lexicographically-smallest-string-after-operations-with-constraint,2,False
3082,Find the Sum of the Power of All Subsequences,find-the-sum-of-the-power-of-all-subsequences,3,False
3102,Minimize Manhattan Distances,minimize-manhattan-distances,3,False
3032,Count Numbers With Unique Digits II,count-numbers-with-unique-digits-ii,1,True
3070,Count Submatrices with Top-Left Element and Sum Less Than k,count-submatrices-with-top-left-element-and-sum-less-than-k,2,False
3084,Count Substrings Starting and Ending with Given Character,count-substrings-starting-and-ending-with-given-character,2,False
3100,Water Bottles II,water-bottles-ii,2,False
3071,Minimum Operations to Write the Letter Y on a Grid,minimum-operations-to-write-the-letter-y-on-a-grid,2,False
3074,Apple Redistribution into Boxes,apple-redistribution-into-boxes,1,False
3023,Find Pattern in Infinite Stream I,find-pattern-in-infinite-stream-i,2,True
3066,Minimum Operations to Exceed Threshold Value II,minimum-operations-to-exceed-threshold-value-ii,2,False
3065,Minimum Operations to Exceed Threshold Value I,minimum-operations-to-exceed-threshold-value-i,1,False
3033,Modify the Matrix,modify-the-matrix,1,False
3043,Find the Length of the Longest Common Prefix,find-the-length-of-the-longest-common-prefix,2,False
3091,Apply Operations to Make Sum of Array Greater Than or Equal to k,apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k,2,False
3086,Minimum Moves to Pick K Ones,minimum-moves-to-pick-k-ones,3,False
3067,Count Pairs of Connectable Servers in a Weighted Tree Network,count-pairs-of-connectable-servers-in-a-weighted-tree-network,2,False
3047,Find the Largest Area of Square Inside Two Rectangles,find-the-largest-area-of-square-inside-two-rectangles,2,False
3046,Split the Array,split-the-array,1,False
3018,Maximum Number of Removal Queries That Can Be Processed I,maximum-number-of-removal-queries-that-can-be-processed-i,3,True
3024,Type of Triangle,type-of-triangle,1,False
3038,Maximum Number of Operations With the Same Score I,maximum-number-of-operations-with-the-same-score-i,1,False
3040,Maximum Number of Operations With the Same Score II,maximum-number-of-operations-with-the-same-score-ii,2,False
3035,Maximum Palindromes After Operations,maximum-palindromes-after-operations,2,False
3098,Find the Sum of Subsequence Powers,find-the-sum-of-subsequence-powers,3,False
3009,Maximum Number of Intersections on the Chart,maximum-number-of-intersections-on-the-chart,3,True
3044,Most Frequent Prime,most-frequent-prime,2,False
3077,Maximum Strength of K Disjoint Subarrays,maximum-strength-of-k-disjoint-subarrays,3,False
3019,Number of Changing Keys,number-of-changing-keys,1,False
3028,Ant on the Boundary,ant-on-the-boundary,1,False
3017,Count the Number of Houses at a Certain Distance II,count-the-number-of-houses-at-a-certain-distance-ii,3,False
3042,Count Prefix and Suffix Pairs I,count-prefix-and-suffix-pairs-i,1,False
3039,Apply Operations to Make String Empty,apply-operations-to-make-string-empty,2,False
3068,Find the Maximum Sum of Node Values,find-the-maximum-sum-of-node-values,3,False
3080,Mark Elements on Array by Performing Queries,mark-elements-on-array-by-performing-queries,2,False
3045,Count Prefix and Suffix Pairs II,count-prefix-and-suffix-pairs-ii,3,False
3004,Maximum Subtree of the Same Color,maximum-subtree-of-the-same-color,2,True
3008,Find Beautiful Indices in the Given Array II,find-beautiful-indices-in-the-given-array-ii,3,False
3020,Find the Maximum Number of Elements in Subset,find-the-maximum-number-of-elements-in-subset,2,False
3041,Maximize Consecutive Elements in an Array After Modification,maximize-consecutive-elements-in-an-array-after-modification,3,False
3029,Minimum Time to Revert Word to Initial State I,minimum-time-to-revert-word-to-initial-state-i,2,False
3031,Minimum Time to Revert Word to Initial State II,minimum-time-to-revert-word-to-initial-state-ii,3,False
2992,Number of Self-Divisible Permutations,number-of-self-divisible-permutations,2,True
3048,Earliest Second to Mark Indices I,earliest-second-to-mark-indices-i,2,False
3011,Find if Array Can Be Sorted,find-if-array-can-be-sorted,2,False
3036,Number of Subarrays That Match a Pattern II,number-of-subarrays-that-match-a-pattern-ii,3,False
3049,Earliest Second to Mark Indices II,earliest-second-to-mark-indices-ii,3,False
3021,Alice and Bob Playing Flower Game,alice-and-bob-playing-flower-game,2,False
3025,Find the Number of Ways to Place People I,find-the-number-of-ways-to-place-people-i,2,False
3027,Find the Number of Ways to Place People II,find-the-number-of-ways-to-place-people-ii,3,False
3016,Minimum Number of Pushes to Type Word II,minimum-number-of-pushes-to-type-word-ii,2,False
3014,Minimum Number of Pushes to Type Word I,minimum-number-of-pushes-to-type-word-i,1,False
2979,Most Expensive Item That Can Not Be Bought,most-expensive-item-that-can-not-be-bought,2,True
3030,Find the Grid of Region Average,find-the-grid-of-region-average,2,False
3015,Count the Number of Houses at a Certain Distance I,count-the-number-of-houses-at-a-certain-distance-i,2,False
3001,Minimum Moves to Capture The Queen,minimum-moves-to-capture-the-queen,2,False
3034,Number of Subarrays That Match a Pattern I,number-of-subarrays-that-match-a-pattern-i,2,False
2969,Minimum Number of Coins for Fruits II,minimum-number-of-coins-for-fruits-ii,3,True
2981,Find Longest Special Substring That Occurs Thrice I,find-longest-special-substring-that-occurs-thrice-i,2,False
2982,Find Longest Special Substring That Occurs Thrice II,find-longest-special-substring-that-occurs-thrice-ii,2,False
3026,Maximum Good Subarray Sum,maximum-good-subarray-sum,2,False
3207,Maximum Points After Enemy Battles,maximum-points-after-enemy-battles,2,False
3010,Divide an Array Into Subarrays With Minimum Cost I,divide-an-array-into-subarrays-with-minimum-cost-i,1,False
2971,Find Polygon With the Largest Perimeter,find-polygon-with-the-largest-perimeter,2,False
